,nominee_type,year,winner,award,title
1347,people,2014,False,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Aaron Paul
1348,people,2014,True,Best Performance by an Actor In A Television Series - Drama,Bryan Cranston
1349,people,2014,False,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Corey Stoll
1350,people,2014,False,Best Performance by an Actor In A Television Series - Drama,Kevin Spacey
1351,people,2014,True,Best Performance by an Actress In A Television Series - Drama,Robin Wright
1352,people,2014,False,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rob Lowe
1353,people,2014,True,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Michael Douglas
1354,people,2014,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Matt Damon
1355,people,2014,False,Best Original Score - Motion Picture,John Williams
1356,people,2014,False,Best Performance by an Actress in a Motion Picture - Drama,Emma Thompson
1357,people,2014,False,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet
1358,people,2014,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Greta Gerwig
1359,people,2014,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Louis-Dreyfus
1360,people,2014,True,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Leonardo DiCaprio
1361,tv-show,2014,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Top of the Lake
1362,people,2014,True,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jared Leto
1363,people,2014,True,Best Performance by an Actor in a Motion Picture - Drama,Matthew McConaughey
1364,people,2014,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sally Hawkins
1365,song,2014,True,Best Original Song - Motion Picture,Ordinary Love
1366,film,2014,True,Best Motion Picture - Drama,12 Years a Slave
1367,people,2014,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Helen Mirren
1368,people,2014,False,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joaquin Phoenix
1369,people,2014,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Al Pacino
1370,song,2014,False,Best Original Song - Motion Picture,Sweeter Than Fiction
1371,song,2014,False,Best Original Song - Motion Picture,Let It Go
1372,song,2014,False,Best Original Song - Motion Picture,Please Mr. Kennedy
1373,tv-show,2014,False,Best Television Series - Drama,The Good Wife
1374,tv-show,2014,False,Best Television Series - Drama,Downton Abbey
1375,people,2014,True,Best Screenplay - Motion Picture,Spike Jonze
1376,people,2014,True,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jacqueline Bisset
1377,people,2014,False,Best Original Score - Motion Picture,Alex Heffes
1378,people,2014,False,Best Performance by an Actor in a Motion Picture - Drama,Idris Elba
1379,people,2014,False,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks
1380,people,2014,False,Best Original Score - Motion Picture,Hans Zimmer
1381,people,2014,False,Best Screenplay - Motion Picture,John Ridley
1382,people,2014,False,Best Director - Motion Picture,Steve McQueen
1383,people,2014,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Michael Fassbender
1384,people,2014,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lupita Nyong'o
1385,people,2014,False,Best Performance by an Actor in a Motion Picture - Drama,Chiwetel Ejiofor
1386,people,2014,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Rebecca Ferguson
1387,people,2014,False,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Janet McTeer
1388,people,2014,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Jessica Lange
1389,people,2014,True,Best Performance by an Actor in a Television Series - Musical or Comedy,Andy Samberg
1390,people,2014,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Lena Dunham
1391,people,2014,False,Best Performance by an Actor In A Television Series - Drama,Michael Sheen
1392,people,2014,False,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sofia Vergara
1393,people,2014,True,Best Performance by an Actress in a Television Series - Musical or Comedy,Amy Poehler
1394,people,2014,False,Best Performance by an Actor In A Television Series - Drama,Liev Schreiber
1395,people,2014,True,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jon Voight
1396,people,2014,False,Best Performance by an Actor in a Television Series - Musical or Comedy,Jim Parsons
1397,people,2014,True,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Elisabeth Moss
1398,people,2014,False,Best Performance by an Actor in a Television Series - Musical or Comedy,Jason Bateman
1399,people,2014,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Helena Bonham Carter
1400,people,2014,False,Best Performance by an Actor in a Television Series - Musical or Comedy,Don Cheadle
1401,people,2014,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Idris Elba
1402,people,2014,False,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Hayden Panettiere
1403,people,2014,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Zooey Deschanel
1404,people,2014,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Edie Falco
1405,people,2014,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Chiwetel Ejiofor
1406,people,2014,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barkhad Abdi
1407,people,2014,False,Best Director - Motion Picture,Paul Greengrass
1408,people,2014,False,Best Performance by an Actress in a Motion Picture - Drama,Sandra Bullock
1409,people,2014,True,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams
1410,people,2014,False,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Oscar Isaac
1411,film,2014,False,Best Motion Picture - Drama,Philomena
1412,film,2014,False,Best Motion Picture - Drama,Gravity
1413,film,2014,False,Best Motion Picture - Drama,Captain Phillips
1414,people,2014,False,Best Screenplay - Motion Picture,Bob Nelson
